datetime,open,high,low,close,volume
2025-06-03 19:59:00,596.3900,596.4500,595.9500,596.1100,14.4118
2025-06-04 13:30:00,596.9600,597.1400,596.7900,597.1000,16.8261
2025-06-04 13:31:00,597.1000,597.1400,597.1000,597.1300,0.0648
2025-06-04 13:32:00,597.2100,597.4900,597.2100,597.3800,4.6982
2025-06-04 13:33:00,597.3800,597.5200,597.3200,597.4901,4.7557
2025-06-04 13:34:00,597.5100,597.6050,597.4900,597.5550,2.2606
2025-06-04 13:35:00,597.5800,597.6000,597.4200,597.4400,3.0387
2025-06-04 13:38:00,597.7200,597.8590,597.6801,597.8200,7.4117
2025-06-04 13:39:00,597.8300,597.9150,597.7300,597.7700,2.5692
2025-06-04 13:40:00,597.7700,597.8000,597.5800,597.6200,2.0651
2025-06-04 13:41:00,597.6100,597.9100,597.5350,597.8000,1.8092
2025-06-04 13:42:00,597.8000,597.9500,597.7300,597.7800,1.9210
2025-06-04 13:43:00,597.7900,597.7950,597.3300,597.3900,1.6690
2025-06-04 13:44:00,597.3700,597.4800,597.3200,597.4400,1.4062
2025-06-04 13:45:00,597.3800,597.6800,597.3200,597.6400,7.8125
2025-06-04 13:46:00,597.6800,597.8450,597.6400,597.7700,1.2514
2025-06-04 13:47:00,597.7900,597.8200,597.5600,597.5607,1.6445
2025-06-04 13:48:00,597.5800,597.7500,597.5800,597.7500,0.8617
2025-06-04 13:49:00,597.7600,597.8225,597.7100,597.8000,0.9821
2025-06-04 13:50:00,597.8100,597.8300,597.6700,597.7000,1.2918
2025-06-04 13:51:00,597.7100,597.7250,597.2300,597.3100,1.8057
2025-06-04 13:52:00,597.3000,597.6700,597.1850,597.6300,2.5721
2025-06-04 13:53:00,597.6300,597.7300,597.3700,597.3700,1.3979
2025-06-04 13:54:00,597.3500,597.4800,597.3000,597.3600,1.2664
2025-06-04 13:55:00,597.3400,597.5100,597.3300,597.4300,0.8300
2025-06-04 13:56:00,597.4400,597.4600,597.2299,597.2750,1.0381
2025-06-04 13:57:00,597.2700,597.5800,597.1800,597.5490,1.8182
2025-06-04 13:58:00,597.5500,597.6400,597.5200,597.6200,0.7912
2025-06-04 13:59:00,597.6100,597.6200,597.5100,597.5650,0.5508
2025-06-04 14:00:00,597.5000,597.5800,596.2700,597.0100,6.8685
2025-06-04 14:01:00,597.0100,597.4091,596.7100,597.3650,2.5092
2025-06-04 14:02:00,597.4000,597.4000,596.9000,596.9300,1.6533
2025-06-04 14:03:00,596.8900,596.9800,596.6200,596.7907,2.0593
2025-06-04 14:04:00,596.7600,596.9100,596.5900,596.6600,2.1235
2025-06-04 14:05:00,596.6600,596.8450,596.5600,596.6150,2.3506
2025-06-04 14:06:00,596.6300,596.7300,596.1000,596.2100,3.3554
2025-06-04 14:07:00,596.2100,596.3100,595.9300,595.9300,3.1766
2025-06-04 14:08:00,595.9200,595.9300,595.4900,595.8600,7.1901
2025-06-04 14:09:00,595.8699,596.3700,595.7600,596.3400,2.6817
2025-06-04 14:10:00,596.3500,596.7000,596.3300,596.6500,2.5114
2025-06-04 14:11:00,596.6600,596.9201,596.5400,596.5400,2.2407
2025-06-04 14:12:00,596.5450,596.6900,596.3600,596.6250,2.3098
2025-06-04 14:13:00,596.6100,596.8300,596.4500,596.6400,1.6377
2025-06-04 14:14:00,596.6600,596.8100,596.6100,596.8100,0.8022
2025-06-04 14:15:00,596.8000,597.2400,596.7500,597.2350,2.2222
2025-06-04 14:16:00,597.2500,597.3100,597.0200,597.1000,1.8483
2025-06-04 14:17:00,597.1000,597.1788,596.6500,597.0100,1.7456
2025-06-04 14:18:00,597.0313,597.1700,596.8200,597.0313,0.8355
2025-06-04 14:19:00,597.0600,597.1799,596.9600,597.0701,0.9014
2025-06-04 14:20:00,597.0850,597.2400,597.0500,597.0800,1.1617
2025-06-04 14:21:00,597.0800,597.2000,596.9250,596.9800,1.0582
2025-06-04 14:22:00,596.9500,597.0700,596.8300,596.9620,1.4694
2025-06-04 14:23:00,596.9300,597.0700,596.7800,596.9600,1.4389
2025-06-04 14:24:00,596.9500,597.1300,596.8500,597.0900,1.2690
2025-06-04 14:25:00,597.0900,597.2900,597.0700,597.2400,1.2632
2025-06-04 14:26:00,597.2400,597.4400,597.2100,597.4200,1.7601
2025-06-04 14:27:00,597.4100,597.6950,597.4100,597.6900,2.0764
2025-06-04 14:28:00,597.4800,597.7000,597.4400,597.4800,1.5740
2025-06-04 14:29:00,597.4700,597.6000,597.4600,597.5850,1.1856
2025-06-04 14:30:00,597.5800,597.6700,597.5100,597.5500,1.6944
2025-06-04 14:31:00,597.5400,597.7700,597.4150,597.5900,3.2828
2025-06-04 14:32:00,597.5900,597.7200,597.5800,597.6800,0.7742
2025-06-04 14:33:00,597.6800,597.7300,597.6400,597.6800,0.7335
2025-06-04 14:34:00,597.6800,597.6813,597.4600,597.5100,0.9683
2025-06-04 14:35:00,597.5200,597.7400,597.5200,597.7100,1.0663
2025-06-04 14:36:00,597.7000,597.7100,597.5702,597.6700,0.6898
2025-06-04 14:37:00,597.6650,597.7000,597.5513,597.5900,0.7519
2025-06-04 14:38:00,597.5900,597.5900,597.0900,597.1900,2.4529
2025-06-04 14:39:00,597.1800,597.3200,597.0700,597.3000,4.7242
2025-06-04 14:40:00,597.2800,597.4200,597.2000,597.3300,1.1611
2025-06-04 14:41:00,597.3350,597.3500,596.8300,597.1700,1.8278
2025-06-04 14:42:00,597.1550,597.2100,597.0100,597.1000,1.1135
2025-06-04 14:43:00,597.1000,597.1000,596.8300,596.8400,2.2278
2025-06-04 14:44:00,596.8300,597.0400,596.8000,596.9900,0.9127
2025-06-04 14:45:00,597.0000,597.0600,596.8600,596.9200,0.8944
2025-06-04 14:46:00,596.8900,597.0200,596.7100,596.9600,0.9046
2025-06-04 14:47:00,596.9500,597.2200,596.9100,597.1399,0.9658
2025-06-04 14:48:00,597.1600,597.3900,597.1200,597.3800,1.2407
2025-06-04 14:49:00,597.3800,597.4100,597.1200,597.2007,0.7007
2025-06-04 14:50:00,597.2000,597.2000,596.9200,596.9600,0.8851
2025-06-04 14:51:00,596.9600,596.9900,596.7500,596.9800,0.7205
2025-06-04 14:52:00,596.9850,596.9850,596.8000,596.8850,0.3130
2025-06-04 14:53:00,597.0800,597.1900,597.0600,597.0600,2.2619
2025-06-04 14:54:00,597.0700,597.1600,597.0200,597.1350,1.3234
2025-06-04 14:55:00,597.1300,597.1797,597.0350,597.0999,0.6293
2025-06-04 14:56:00,597.0900,597.1700,597.0500,597.0900,0.5061
2025-06-04 14:57:00,597.1000,597.1300,596.9700,597.1000,0.5723
2025-06-04 14:58:00,597.1200,597.4000,597.1100,597.3900,1.2220
2025-06-04 14:59:00,597.3807,597.5400,597.3800,597.5250,1.0544
2025-06-04 15:00:00,597.5400,597.6200,597.4000,597.4900,1.6007
2025-06-04 15:01:00,597.4900,597.6207,597.3400,597.5500,1.0803
2025-06-04 15:02:00,597.5600,597.6400,597.5400,597.6312,1.0173
2025-06-04 15:03:00,597.6300,597.6800,597.5500,597.6100,0.7258
2025-06-04 15:04:00,597.5926,597.6400,597.5300,597.5300,0.6266
2025-06-04 15:05:00,597.5300,597.5800,597.4500,597.5400,0.5295
2025-06-04 15:06:00,597.5400,597.8100,597.5301,597.7700,1.1228
2025-06-04 15:07:00,597.7800,597.8750,597.7150,597.8100,0.9307
2025-06-04 15:08:00,597.8000,597.8000,597.5820,597.7050,0.7366
2025-06-04 15:09:00,597.7100,597.7800,597.6510,597.7300,0.6504
2025-06-04 15:10:00,597.7200,597.7300,597.5500,597.6988,0.4992
2025-06-04 15:11:00,597.7000,597.8650,597.6900,597.8100,0.6583
2025-06-04 15:12:00,597.8000,597.8050,597.6913,597.6920,0.8535
2025-06-04 15:13:00,597.7000,597.7000,597.6000,597.6500,1.8407
2025-06-04 15:14:00,597.6600,597.7150,597.5050,597.5300,0.6802
2025-06-04 15:15:00,597.5400,597.7000,597.5300,597.6400,0.5516
2025-06-04 15:16:00,597.6400,597.6800,597.5900,597.6400,0.4487
2025-06-04 15:17:00,597.6400,597.6600,597.2975,597.4000,3.3368
2025-06-04 15:18:00,597.5450,597.5701,597.2300,597.5450,0.9218
2025-06-04 15:19:00,597.5400,597.5500,597.3500,597.4200,1.0762
2025-06-04 15:20:00,597.4300,597.5300,597.4000,597.4200,0.8177
2025-06-04 15:21:00,597.4250,597.4300,597.1900,597.2400,1.0431
2025-06-04 15:22:00,597.2300,597.3400,597.1300,597.2700,0.6765
2025-06-04 15:23:00,597.2788,597.3300,597.1800,597.1900,0.7879
2025-06-04 15:24:00,597.1900,597.3800,597.1500,597.3350,0.9113
2025-06-04 15:25:00,597.3400,597.3800,597.2300,597.2700,0.6049
2025-06-04 15:26:00,597.2700,597.3600,597.1800,597.1800,0.8714
2025-06-04 15:27:00,597.1900,597.2600,596.9700,597.2500,1.5848
2025-06-04 15:28:00,597.2500,597.2850,597.0900,597.1100,0.5373
2025-06-04 15:29:00,597.1200,597.1800,596.9900,596.9900,0.6302
2025-06-04 15:30:00,596.9900,597.0000,596.7800,596.8150,1.3755
2025-06-04 15:31:00,596.8100,596.9200,596.7550,596.8100,1.0436
2025-06-04 15:32:00,596.8100,597.1300,596.7900,597.0700,1.2828
2025-06-04 15:33:00,597.0800,597.2090,597.0800,597.1100,0.9129
2025-06-04 15:34:00,597.1200,597.1300,596.9700,597.0250,0.8777
2025-06-04 15:35:00,597.0100,597.1398,596.8200,596.8500,0.7225
2025-06-04 15:36:00,596.8500,597.1000,596.8000,597.0400,0.8617
2025-06-04 15:37:00,597.0200,597.2400,597.0000,597.1500,0.8455
2025-06-04 15:38:00,597.1600,597.2200,597.0100,597.1400,0.7205
2025-06-04 15:39:00,597.1399,597.1900,597.0600,597.1100,0.0000
2025-06-04 15:40:00,597.1050,597.1100,596.9500,597.0400,0.4692
2025-06-04 15:41:00,597.0050,597.1600,596.9750,597.1080,0.5264
2025-06-04 15:42:00,597.1400,597.2450,597.1150,597.2000,0.4761
2025-06-04 15:43:00,597.2000,597.4000,597.1700,597.3480,1.1166
2025-06-04 15:44:00,597.3350,597.3550,596.4100,596.5901,4.8734
2025-06-04 15:45:00,596.5800,597.0700,596.5299,597.0100,2.7791
2025-06-04 15:46:00,597.0300,597.0700,596.8100,596.9692,1.4487
2025-06-04 15:47:00,597.0000,597.2000,596.9100,596.9500,1.4326
2025-06-04 15:48:00,596.9492,596.9900,596.7600,596.7950,0.5925
2025-06-04 15:49:00,596.7600,596.9200,596.7600,596.9200,2.2274
2025-06-04 15:50:00,596.8850,597.2389,596.8850,597.1470,1.2675
2025-06-04 15:51:00,597.1700,597.2600,597.0800,597.0950,0.9129
2025-06-04 15:52:00,597.1000,597.2300,597.0900,597.1680,0.8482
2025-06-04 15:53:00,597.1850,597.3100,597.1300,597.1700,0.6056
2025-06-04 15:54:00,597.2000,597.2600,597.0000,597.0600,0.0000
2025-06-04 15:55:00,597.0400,597.1400,596.9600,597.0400,0.4199
2025-06-04 15:56:00,597.0500,597.1400,597.0000,597.0000,0.5249
2025-06-04 15:57:00,596.9900,597.0651,596.8500,596.9100,0.5816
2025-06-04 15:58:00,596.7400,596.9400,596.6900,596.7400,0.7553
2025-06-04 15:59:00,596.7400,596.9100,596.6700,596.8800,0.7349
2025-06-04 16:00:00,596.8700,596.9400,596.7300,596.8800,1.3183
2025-06-04 16:01:00,596.8700,596.8800,596.5700,596.6700,0.9175
2025-06-04 16:02:00,596.6293,596.8100,596.6100,596.7412,0.7402
2025-06-04 16:03:00,596.7301,596.7900,596.5251,596.6300,0.7488
2025-06-04 16:04:00,596.6300,596.7000,596.5000,596.6000,1.0744
2025-06-04 16:05:00,596.6100,596.6750,596.3800,596.4900,0.9938
2025-06-04 16:06:00,596.4780,596.6800,596.3900,596.6500,1.5211
2025-06-04 16:07:00,596.6450,596.6450,596.3900,596.4600,0.7028
2025-06-04 16:08:00,596.4700,596.6000,596.4400,596.6000,0.6017
2025-06-04 16:09:00,596.6200,596.7100,596.4800,596.4800,0.5840
2025-06-04 16:10:00,596.4750,596.5400,596.2900,596.2900,0.9194
2025-06-04 16:11:00,596.2900,596.2900,596.0600,596.1200,1.2818
2025-06-04 16:12:00,596.1200,596.2500,596.0600,596.1500,1.2376
2025-06-04 16:13:00,596.1600,596.1600,595.8199,595.9500,0.0000
2025-06-04 16:14:00,595.9700,596.0000,595.7909,595.8700,1.2774
2025-06-04 16:15:00,595.8700,596.1900,595.8300,596.0699,2.3598
2025-06-04 16:16:00,596.0700,596.1100,595.9500,596.0150,1.3111
2025-06-04 16:17:00,596.0000,596.3450,595.9900,596.3150,1.3699
2025-06-04 16:18:00,596.3200,596.3500,596.2103,596.3150,0.9842
2025-06-04 16:19:00,596.3099,596.4499,596.2400,596.4100,2.3824
2025-06-04 16:20:00,596.3900,596.4351,596.2700,596.2846,1.1493
2025-06-04 16:21:00,596.2600,596.3400,596.2000,596.2899,0.4403
2025-06-04 16:22:00,596.2800,596.2800,596.1400,596.1400,0.4695
2025-06-04 16:23:00,596.1400,596.1899,596.0101,596.0600,0.7536
2025-06-04 16:24:00,596.0610,596.2000,595.9913,596.1600,0.5697
2025-06-04 16:25:00,596.1800,596.3600,596.1600,596.2500,0.7771
2025-06-04 16:26:00,596.2650,596.3403,596.1801,596.3399,0.6271
