entry_time,exit_time,direction,entry_price,exit_price,position_size,pnl,pnl_pct,exit_reason,capital
2022-06-01 12:29:00-04:00,2022-06-01 12:30:00-04:00,bearish,408.326082675,408.137705865,1.0,0.10670751000002249,0.02613291546329027,take_profit,100000.10670751
2022-06-01 12:29:00-04:00,2022-06-01 12:30:00-04:00,bearish,408.326082675,408.23391067499995,1.0,0.010502700000061871,0.0025721354686081394,take_profit,100000.11721021
2022-06-02 13:23:00-04:00,2022-06-02 13:27:00-04:00,bullish,414.36171705,413.937202105,1.0,-0.5073831449999986,-0.12244932968524551,stop_loss,99999.609827065
2022-06-02 13:23:00-04:00,2022-06-02 13:28:00-04:00,bullish,414.36171705,413.78020995500003,1.0,-0.6643752949999495,-0.16033703589460246,stop_loss,99998.94545176999
2022-06-03 13:08:00-04:00,2022-06-03 13:09:00-04:00,bearish,412.56037095,412.62563025000003,1.0,-0.14777550000003653,-0.035819121371195896,stop_loss,99998.79767627
2022-06-03 13:08:00-04:00,2022-06-03 13:15:00-04:00,bearish,412.56037095,412.0256002500001,1.0,0.45225449999991046,0.10962141103337364,take_profit,99999.24993076999
2022-06-07 10:58:00-04:00,2022-06-07 11:02:00-04:00,bearish,412.91535319999997,413.16365714999995,1.0,-0.33089114999997904,-0.08013534673284681,stop_loss,99998.91903961998
2022-06-07 10:58:00-04:00,2022-06-07 11:28:00-04:00,bearish,412.91535319999997,411.8865932999999,1.0,0.9461727000000683,0.2291444705718606,take_profit,99999.86521231999
2022-06-09 10:04:00-04:00,2022-06-09 10:10:00-04:00,bearish,410.7054637,409.680483,1.0,0.9428355000000146,0.2295648788078235,take_profit,100000.80804781998
2022-06-09 10:04:00-04:00,2022-06-09 10:52:00-04:00,bearish,410.7054637,408.9944486999999,1.0,1.6288698000000885,0.39660290499322337,take_profit,100002.43691761998
2022-06-10 10:57:00-04:00,2022-06-10 12:06:00-04:00,bearish,391.0964442,391.78848844500004,1.0,-0.7702674450000337,-0.196950766600714,stop_loss,100001.66665017499
2022-06-10 10:57:00-04:00,2022-06-10 13:46:00-04:00,bearish,391.0964442,391.96949749500004,1.0,-0.9512764950000339,-0.24323322523320295,stop_loss,100000.71537367998
