,R2_OOS,R2_standard,MSE,RMSE
lasso,-0.393263651679163,0.0452767941884511,4.470321865046188,2.1143135682878706
pcr,-0.560730250004829,-0.0694784048201087,5.007642705403921,2.2377762858257126
random_forest,-0.39576951893526036,0.04355966791648058,4.478362003875859,2.1162140732628774
xgboost,-0.6075168245493061,-0.10153854532848272,5.15775861987906,2.2710699284432128
neural_network,-8.077768259651398,-5.220470909453157,29.126250360464226,5.396874128647455
ensemble,-0.6944123586769546,-0.16108304203093415,5.4365651513761915,2.3316443020701487
