Model,Data_Points,MAE,MSE,RMSE,MAPE (%),Bias,Std_Error,R_Squared,Correlation,Directional_Accuracy (%),Min_Error,Max_Error,Q25_Error,Q75_Error
zGen3lastm,762,0.02821814446995019,0.002079727295674038,0.04560402718701538,25.877418905733464,-0.006938598079632228,0.0450730867853907,0.4589682503133369,0.7457859856107012,68.98817345597898,-0.507213274872552,0.0726794231488586,-0.02283137660216643,0.019334542111641175
zGen1,743,0.06421813589952566,0.005607369201007074,0.0748823690931789,72.85566986354974,0.06073597619716206,0.04380080360432714,-0.5216364531740385,0.7299989963442757,66.57681940700809,-0.2999109822519811,0.2341527261852918,0.03723835281072859,0.0839457601835302
zGen3tf,360,0.032386424340354054,0.0028320106046156005,0.053216638418971944,37.40028808024665,0.016519970009748017,0.05058755969102114,0.4459794703681439,0.7648919385220326,56.54596100278552,-0.520862082251981,0.0947757157655674,0.009691655660564742,0.036416024048352424
zGen2,745,0.04728878623015838,0.0033240995714977546,0.05765500473937848,55.316193724834775,0.043762259265351273,0.03753617236067006,0.10154199250060159,0.7895896668994745,65.59139784946237,-0.3600919822519811,0.2664318669421806,0.02743936744242649,0.057798371557931896
zGen4,762,0.041675647510512684,0.003361595055437845,0.0579792640125575,49.671880277621554,0.01764953237968536,0.05522761141146956,0.12549608866285344,0.4548187697962592,48.75164257555847,-0.6126177422519811,0.1094368137354035,-0.008115258396633008,0.052966154327709625
