Date,RV_Parkinson,RV_GarmanKlass,RV_RogersSatchell,RV_CloseToClose,average,zGen3lastm,zGen1,zGen3tf,zGen2,zGen4,ensemble
2022-05-31,0.1876664388888824,0.180366370870926,0.180366370870926,0.1992631508695355,0.1870752195388173,,,,,,
2022-06-01,0.1888942512535025,0.1912164052260368,0.1912164052260368,0.1854179689647462,0.1892011420596931,,,,,,
2022-06-02,0.1720379266158404,0.1686727253568,0.1686727253568,0.1787728726725466,0.1720884690765572,,,,,,
2022-06-03,0.1739208938611298,0.1694501620492572,0.1694501620492572,0.1824287735435403,0.1738932499948559,,,,,,
2022-06-06,0.1563120794306713,0.1559365720398882,0.1559365720398882,0.1597933739668074,0.1570030394122507,,,,,,
2022-06-07,0.1363182141785849,0.1378252048970148,0.1378252048970148,0.1356856260620666,0.1369167802412306,0.09276935,,,,0.1090576,
2022-06-08,0.1421878265634385,0.1452925462166375,0.1452925462166375,0.1397918022839494,0.1431598529449307,0.09265514,,,,0.1081991,
2022-06-09,0.1670836944097397,0.1619483707936447,0.1619483707936447,0.1770716841177785,0.1671271161865612,0.11816286,,,,0.12621877,
2022-06-10,0.2014093579942346,0.1976605848158698,0.1976605848158698,0.2139222480607815,0.2027731930523187,0.12349518,,,,0.1206180999999999,
2022-06-13,0.2448814165725964,0.2392487640567373,0.2392487640567373,0.2584467374736467,0.2455817412282142,0.13721716,,,,0.14213685,
2022-06-14,0.2243141391120251,0.2155205944776143,0.2155205944776143,0.240378056021647,0.2241632753766122,0.1561979299999999,,,,0.15982113,
2022-06-15,0.3450480943808789,0.3522507417139863,0.3522507417139863,0.3364183506367197,0.3465532658037988,0.21000767,,,,0.16555547,
2022-06-16,0.2327623047198985,0.2269770810603182,0.2269770810603182,0.2480454548658388,0.2338493258657401,0.15813241,,,,0.16359024,
2022-06-17,0.2414013355766635,0.2288150258975578,0.2288150258975578,0.2630243022865988,0.2409196030652908,0.15322379,,,,0.1560962,
2022-06-21,0.1292786320933002,0.1316101260180606,0.1316101260180606,0.1295341772598825,0.1305129479546848,0.0957122099999999,,,,0.1578152,
2022-06-22,0.1849123627825139,0.1797974041595628,0.1797974041595628,0.1972743031832963,0.1855828290085733,0.1062592399999999,,,,0.1355566,
2022-06-23,0.197959483428537,0.1999694846849573,0.1999694846849573,0.1966026815100402,0.1986304112331281,0.09459998,,,,0.12074328,
2022-06-24,0.1249750647137823,0.1165138519833772,0.1165138519833772,0.1422018542817444,0.1254901286649564,0.06684943,,,,0.1131025099999999,
2022-06-27,0.1606110996294682,0.1590724485487745,0.1590724485487745,0.1657702136118318,0.1611550315842669,0.0994721,,,,0.09989479,
2022-06-28,0.1708702754196622,0.1684583305541979,0.1684583305541979,0.1759156558896117,0.1709527619514221,0.10645666,,,,0.1108437499999999,
2022-06-29,0.1937221954242531,0.1878365219703122,0.1878365219703122,0.2074887441797979,0.1943868475058879,0.12885148,,,,0.10517314,
2022-06-30,0.2159421223229012,0.2081441295636472,0.2081441295636472,0.2294430862722369,0.2155939976988371,0.11561898,,,,0.10469602,
2022-07-01,0.2098383861304617,0.2093606911999334,0.2093606911999334,0.2136815389275207,0.2105681281745281,0.1077528,,,0.208453,0.15110531,0.130913846
2022-07-05,0.1972411816808752,0.1988997941590322,0.1988997941590322,0.1966371928231169,0.1979220336301863,0.10395595,,,0.251754,0.15468181,0.13794950150000002
2022-07-06,0.2111272711414129,0.2142155952913473,0.2142155952913473,0.2086905679933793,0.212074939774288,0.12748998,0.1831469999999999,,0.210626,0.15768173,0.1466112646
2022-07-07,0.1065656280945121,0.1072544091654687,0.1072544091654687,0.1057543419339088,0.1067089856805877,0.08148721,0.192873,,0.199812,0.1320046299999999,0.1087019117
2022-07-08,0.139776677767026,0.139130875545632,0.139130875545632,0.143540034719192,0.1404066079952811,0.08200932,0.2172299999999999,,0.196543,0.11179908,0.1083520664
2022-07-11,0.1346769690253442,0.1376453228845117,0.1376453228845117,0.1293967666327694,0.134883170767179,0.07873113,0.216419,,0.1995179999999999,0.09884736,0.10651211009999997
2022-07-12,0.1455432003064145,0.1466247306756949,0.1466247306756949,0.1464023050127201,0.1462994201628212,0.10551593,0.201078,,0.1900069999999999,0.0969918999999999,0.12494887609999997
2022-07-13,0.2189710062309253,0.2069444081326311,0.2069444081326311,0.2377895531651274,0.2180276067835131,0.10602219,0.246624,,0.273799,0.1065787699999999,0.14461085630000003
2022-07-14,0.1773675677101134,0.1699532204903385,0.1699532204903385,0.1869831330840765,0.1762031075516365,0.08951089,0.243505,,0.250439,0.11755081,0.1265243553
2022-07-15,0.1455402564800439,0.1376908687921695,0.1376908687921695,0.1529412022216058,0.1436058218620958,0.06834908,0.2552359999999999,,0.217681,0.1199144,0.10269542160000002
2022-07-18,0.1235069028147408,0.1218241404542696,0.1218241404542696,0.1265530024676818,0.1234421523136628,0.08821194,0.250516,,0.204627,0.11024255,0.1149874038
2022-07-19,0.1043016999574064,0.1048094860637267,0.1048094860637267,0.1048045348841313,0.1046815311840739,0.08170816,0.260826,,0.202011,0.09764392,0.10937781320000001
2022-07-20,0.136923438424481,0.1346815014266601,0.1346815014266601,0.1416479447760684,0.1370131215452973,0.10425361,0.262629,,0.189604,0.09019376,0.1238841997
2022-07-21,0.1603561499786467,0.1540595451731384,0.1540595451731384,0.171364010785663,0.1601159001679968,0.0813348,0.26188,,0.182149,0.09246059,0.104522066
2022-07-22,0.1528280340600215,0.1497817701690368,0.1497817701690368,0.159233714819334,0.1529550107709424,0.08240317,0.264272,,0.1773239999999999,0.09576559,0.10423496089999998
